,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
165,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,83600,1,17900,27.25,73200,84400,72200,2971300,229123179700,1752595081600,20964056,KSQ
166,000240,KR7000240002,한국앤컴퍼니,KOSPI,,18250,1,600,3.4,17630,18320,17600,187508,3385688820,1732568130000,94935240,STK
167,020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,37200,1,1350,3.77,35800,37250,34200,145769,5259898150,1715323062000,46110835,STK
168,051600,KR7051600005,한전KPS,KOSPI,,37950,2,-1000,-2.57,38500,38500,37650,230388,8765185450,1707750000000,45000000,STK
169,298040,KR7298040007,효성중공업,KOSPI,,181900,1,13900,8.27,166800,185200,166800,172649,31062371400,1696135281200,9324548,STK
170,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,우량기업부,77100,1,600,0.78,77000,77700,75700,75683,5821682300,1690737773400,21929154,KSQ
171,112040,KR7112040001,위메이드,KOSDAQ,우량기업부,49800,2,-1300,-2.54,51100,51700,49550,220756,11087393600,1688119204800,33897976,KSQ
172,047040,KR7047040001,대우건설,KOSPI,,4010,2,-45,-1.11,4055,4085,4000,743566,2991795740,1666646778380,415622638,STK
173,012510,KR7012510004,더존비즈온,KOSPI,,54800,1,4000,7.87,50500,56100,50400,1332609,72434166700,1664976563200,30382784,STK
174,011210,KR7011210002,현대위아,KOSPI,,60700,2,-600,-0.98,61500,62200,60600,66765,4100164100,1650741538100,27195083,STK
175,017800,KR7017800004,현대엘리베이,KOSPI,,41800,2,-1000,-2.34,42350,42800,41750,25039,1053026550,1634061693000,39092385,STK
176,007310,KR7007310006,오뚜기,KOSPI,,405500,2,-2500,-0.61,410000,413000,404500,1671,681332000,1625175065000,4007830,STK
177,204320,KR7204320006,HL만도,KOSPI,,34500,2,-100,-0.29,34400,34850,34300,152868,5283834400,1620020640000,46957120,STK
178,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,68900,2,-900,-1.29,69200,69700,67800,86097,5921865000,1616219820800,23457472,KSQ
179,137310,KR7137310009,에스디바이오센서,KOSPI,,12880,1,200,1.58,12560,13050,12560,265751,3424879790,1603268306640,124477353,STK
180,042670,KR7042670000,HD현대인프라코어,KOSPI,,7940,2,-50,-0.63,7990,8030,7880,955127,7588529120,1584851416820,199603453,STK
181,000150,KR7000150003,두산,KOSPI,,95900,2,-2100,-2.14,98000,98100,95500,51418,4972610100,1584635776500,16523835,STK
182,067630,KR7067630004,HLB생명과학,KOSDAQ,중견기업부,15250,1,20,0.13,15380,15890,15130,1613123,24990083160,1581742322000,103720808,KSQ
183,095340,KR7095340006,ISC,KOSDAQ,우량기업부,74600,2,-300,-0.4,74500,75300,73600,80179,5959852500,1581300526800,21197058,KSQ
184,005850,KR7005850003,에스엘,KOSPI,,33800,2,-750,-2.17,34250,34700,33700,81864,2792728700,1569959976000,46448520,STK
185,139130,KR7139130009,DGB금융지주,KOSPI,,9260,2,-120,-1.28,9390,9460,9240,391476,3651750470,1566290413580,169145833,STK
186,006110,KR7006110001,삼아알미늄,KOSPI,,106200,1,7100,7.16,103800,114100,102700,271275,29488323200,1562405479200,14711916,STK
187,001740,KR7001740000,SK네트웍스,KOSPI,,6620,2,-150,-2.22,6770,6940,6560,1643886,11022864710,1560852114300,235778265,STK
188,025900,KR7025900002,동화기업,KOSDAQ,우량기업부,75300,1,5100,7.26,72900,75600,71000,303339,22169816800,1522219243500,20215395,KSQ
189,003620,KR7003620002,KG모빌리티,KOSPI,,8100,2,-90,-1.1,8190,8200,8070,168037,1365619810,1514343794400,186956024,STK
190,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,31150,1,250,0.81,30800,31500,30400,285988,8857165200,1502962953800,48249212,KSQ
191,375500,KR7375500006,DL이앤씨,KOSPI,,38800,2,-650,-1.65,39450,39850,38550,73369,2863100950,1501312572400,38693623,STK
192,141080,KR7141080002,레고켐바이오,KOSDAQ GLOBAL,기술성장기업부,52900,2,-500,-0.94,53800,53800,51900,208630,11008554800,1487564399000,28120310,KSQ
193,185750,KR7185750007,종근당,KOSPI,,111900,2,-400,-0.36,111700,113800,111200,11357,1275777600,1474217598000,13174420,STK
194,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,30000,2,-450,-1.48,30250,30350,29900,94810,2850072300,1472517030000,49083901,KSQ
195,000080,KR7000080002,하이트진로,KOSPI,,20950,2,-200,-0.95,21150,21250,20950,57546,1213426200,1469299150450,70133611,STK
196,298050,KR7298050006,효성첨단소재,KOSPI,,326000,2,-6500,-1.95,332000,332000,325000,17829,5823660500,1460463048000,4479948,STK
197,253450,KR7253450001,스튜디오드래곤,KOSDAQ,우량기업부,47050,1,50,0.11,47250,47250,46650,28264,1326237700,1414252330900,30058498,KSQ
198,393890,KR7393890009,더블유씨피,KOSDAQ,기술성장기업부,41800,1,300,0.72,41500,42100,40550,182679,7561185500,1408514452400,33696518,KSQ
199,018670,KR7018670000,SK가스,KOSPI,,152500,2,-4900,-3.11,157900,157900,152500,6704,1036832100,1407612210000,9230244,STK
200,248070,KR7248070005,솔루엠,KOSPI,,27900,3,0,0.0,27850,28050,27650,132212,3684774050,1395154872900,50005551,STK
201,069620,KR7069620003,대웅제약,KOSPI,,119900,1,2600,2.22,117100,120300,117000,26826,3199614400,1389230342500,11586575,STK
202,006280,KR7006280002,녹십자,KOSPI,,118200,1,700,0.6,117500,119200,117100,15148,1793999000,1381348791600,11686538,STK
203,003090,KR7003090008,대웅,KOSPI,,23700,1,550,2.38,23150,24000,23150,43096,1017545350,1377964926000,58141980,STK
204,003230,KR7003230000,삼양식품,KOSPI,,182800,2,-600,-0.33,184100,187400,181700,28177,5190773000,1377035142000,7533015,STK
